Foreign State;Region;2008_visas;2009_visas;2010_visas;2011_visas;2012_visas;2013_visas;2014_visas;2015_visas;2016_visas;2017_visas;2007_Entrants;2007_Derivatives;2007_Total;2008_Entrants;2008_Derivatives;2008_Total;2009_Entrants;2009_Derivatives;2009_Total;2010_Entrants;2010_Derivatives;2010_Total;2011_Entrants;2011_Derivatives;2011_Total;2012_Entrants;2012_Derivatives;2012_Total;2013_Entrants;2013_Derivatives;2013_Total;2014_Entrants;2014_Derivatives;2014_Total;2015_Entrants;2015_Derivatives;2015_Total;2016_Entrants;2016_Derivatives;2016_Total;2017_Entrants;2017_Derivatives;2017_Total;2018_Entrants;2018_Derivatives;2018_Total
Afghanistan;Asia;32;46;66;25;43;59;95;28;192;144;9051;10783;19834;5090;7305;12395;9255;10046;19301;39446;27424;66870;9627;10029;19656;5519;6937;12456;7287;8990;16277;15170;16315;31485;12885;14904;27789;32950;33001;65951;39672;43605;83277;58576;64179;122755
Albania;Europe;2057;2033;1645;965;528;994;1571;1910;1506;2436;70390;102622;173012;67381;94979;162360;68584;92226;160810;53104;65809;118913;40823;46366;87189;55686;59671;115357;59241;63326;122567;83615;87747;171362;100472;98153;198625;127277;118852;246129;162521;153321;315842;189168;178063;367231
Algeria;Africa;823;798;797;846;343;1058;971;1093;1277;996;57496;21794;79290;59146;22457;81603;71364;26185;97549;68052;22652;90704;66404;21600;88004;85568;26513;112081;98417;29772;128189;97683;30189;127872;122698;40393;163091;147732;56701;204433;176403;76330;252733;229410;113447;342857
Andorra;Europe;0;0;0;0;0;0;0;2;0;0;90;26;116;94;30;124;92;42;134;276;55;331;79;26;105;129;39;168;102;45;147;106;38;144;88;46;134;105;81;186;121;45;166;123;52;175
Angola;Africa;4;14;6;15;7;13;10;8;37;12;748;869;1617;764;819;1583;886;1175;2061;883;934;1817;1039;1291;2330;1391;1664;3055;1543;2035;3578;2329;3555;5884;3837;5361;9198;4573;6973;11546;6175;8684;14859;9410;13409;22819
Antigua and Barbuda ;South America, Central America, and the Caribbean;0;1;6;1;0;6;6;4;0;1;308;165;473;316;244;560;324;251;575;571;255;826;367;328;695;368;346;714;376;352;728;383;372;755;349;299;648;344;293;637;370;271;641;296;229;525
Argentina;South America, Central America, and the Caribbean;60;62;91;57;37;32;73;52;30;36;8433;8563;16996;7897;7862;15759;6657;6552;13209;5286;4535;9821;5867;6158;12025;5451;5485;10936;5155;5091;10246;6289;6564;12853;5819;6335;12154;8420;9307;17727;8828;9481;18309;9803;10008;19811
Armenia;Europe;837;950;1001;1013;644;903;1272;1556;1000;1566;24887;33169;58056;26575;35935;62510;29487;38714;68201;27159;34892;62051;31580;41296;72876;39918;52434;92352;42131;55548;97679;48867;64814;113681;56519;74569;131088;71854;96261;168115;96389;130156;226545;110725;156342;267067
Aruba;Europe;6;4;0;1;1;0;0;0;0;0;141;109;250;205;184;389;240;239;479;1192;207;1399;283;321;604;364;353;717;299;330;629;325;340;665;285;271;556;310;293;603;318;278;596;329;282;611
Australia;Oceania;238;187;285;275;292;433;406;486;331;398;8945;4294;13239;9838;4288;14126;9765;4448;14213;8790;3982;12772;10526;4983;15509;11699;5464;17163;12423;5694;18117;14756;6865;21621;14233;6346;20579;16933;7955;24888;18382;8322;26704;18118;8235;26353
Austria;Europe;30;54;56;69;34;42;24;48;10;34;4141;2180;6321;4440;2591;7031;4721;2650;7371;5208;2783;7991;4980;3184;8164;4938;3201;8139;5084;3174;8258;5398;3434;8832;4992;2998;7990;5320;3338;8658;5503;3566;9069;5323;3582;8905
Azerbaijan;Europe;163;217;207;222;149;190;190;289;204;434;7068;8195;15263;6736;8224;14960;7255;8569;15824;7712;8607;16319;9092;10649;19741;10298;12278;22576;11834;13606;25440;12741;14693;27434;13986;15335;29321;30382;23811;54193;38557;34436;72993;61535;62516;124051
Bahamas;North America ;5;1;13;2;3;16;2;7;5;3;1184;784;1968;1489;1158;2647;1778;1415;3193;1596;1028;2624;2204;1589;3793;2134;1583;3717;1752;1604;3356;1832;1825;3657;1830;1755;3585;2170;2093;4263;1951;1630;3581;1898;1643;3541
Bahrain;Asia;0;4;1;2;10;4;2;2;2;1;568;384;952;959;582;1541;1589;764;2353;1469;677;2146;1920;963;2883;2813;961;3774;779;1025;1804;852;1231;2083;818;1178;1996;1037;1469;2506;1216;1448;2664;1438;1574;3012
Bangladesh;Asia;2286;2663;3017;3090;295;;;;;;1023428;413518;1436946;1754789;409799;2164588;4313346;805330;5118676;3828371;834324;834324;5418800;1079126;6497926;7667030;895221;8562251;0;0;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
Barbados;South America, Central America, and the Caribbean;2;3;14;6;4;0;8;6;0;2;670;315;985;910;418;1328;1440;569;2009;1262;488;1750;2078;726;2804;3237;730;3967;633;468;1101;659;515;1174;557;424;981;634;450;1084;635;442;1077;568;423;991
Belarus;Europe;769;780;734;684;285;848;844;868;568;801;32196;30025;62221;30678;29098;59776;35293;31964;67257;33591;28506;62097;36235;29406;65641;39240;31641;70881;52597;45109;97706;52958;44789;97747;53747;46696;100443;52485;46282;98767;70266;64958;135224;86133;85001;171134
Belgium;Europe;32;39;54;26;47;39;24;34;13;42;2798;2241;5039;3123;2242;5365;3555;2600;6155;3164;2207;5371;4038;2980;7018;4327;3051;7378;4097;3130;7227;4671;3566;8237;4675;3693;8368;5285;4275;9560;5329;4293;9622;5352;4322;9674
